Muestra,Tension_U,Tension_V,Tension_W
0,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,1.532614e-03
2,0.000000e+00,0.000000e+00,1.532614e-03
3,1.532614e-03,0.000000e+00,0.000000e+00
4,1.532614e-03,0.000000e+00,0.000000e+00
5,1.532614e-03,0.000000e+00,0.000000e+00
6,1.532614e-03,0.000000e+00,0.000000e+00
7,1.532614e-03,0.000000e+00,0.000000e+00
8,1.532614e-03,0.000000e+00,0.000000e+00
9,1.532614e-03,0.000000e+00,0.000000e+00
10,0.000000e+00,1.532614e-03,0.000000e+00
11,0.000000e+00,1.532614e-03,0.000000e+00
12,0.000000e+00,1.532614e-03,0.000000e+00
13,0.000000e+00,1.532614e-03,0.000000e+00
14,0.000000e+00,1.532614e-03,0.000000e+00
15,0.000000e+00,1.532614e-03,0.000000e+00
16,0.000000e+00,1.532614e-03,0.000000e+00
17,0.000000e+00,0.000000e+00,0.000000e+00
18,0.000000e+00,0.000000e+00,0.000000e+00
19,0.000000e+00,0.000000e+00,0.000000e+00
20,0.000000e+00,0.000000e+00,0.000000e+00
21,0.000000e+00,0.000000e+00,0.000000e+00
22,-8.655136e-01,0.000000e+00,8.655136e-01
23,-8.655136e-01,0.000000e+00,8.655136e-01
24,-8.655136e-01,0.000000e+00,8.655136e-01
25,-8.655136e-01,0.000000e+00,8.655136e-01
26,-8.655136e-01,0.000000e+00,8.655136e-01
27,-8.655136e-01,0.000000e+00,8.655136e-01
28,-8.655136e-01,0.000000e+00,8.655136e-01
29,-8.655136e-01,0.000000e+00,8.655136e-01
30,-8.655136e-01,0.000000e+00,8.655136e-01
31,-8.655136e-01,0.000000e+00,8.655136e-01
32,-8.655136e-01,0.000000e+00,8.655136e-01
33,-8.670462e-01,0.000000e+00,8.655136e-01
34,-8.670462e-01,0.000000e+00,8.655136e-01
35,0.000000e+00,-8.670462e-01,8.655136e-01
36,0.000000e+00,-8.670462e-01,8.655136e-01
37,0.000000e+00,-8.670462e-01,8.655136e-01
38,0.000000e+00,-8.670462e-01,8.655136e-01
39,0.000000e+00,-8.670462e-01,8.655136e-01
40,0.000000e+00,-8.670462e-01,8.655136e-01
41,0.000000e+00,-8.670462e-01,8.655136e-01
42,0.000000e+00,-8.670462e-01,8.655136e-01
43,0.000000e+00,-8.670462e-01,8.655136e-01
44,0.000000e+00,-8.670462e-01,8.655136e-01
45,0.000000e+00,-8.670462e-01,8.655136e-01
46,0.000000e+00,-8.670462e-01,8.655136e-01
47,0.000000e+00,-8.670462e-01,8.655136e-01
48,0.000000e+00,0.000000e+00,-1.532614e-03
49,0.000000e+00,0.000000e+00,1.535356e-03
50,0.000000e+00,0.000000e+00,1.535356e-03
51,0.000000e+00,0.000000e+00,1.535356e-03
52,0.000000e+00,0.000000e+00,1.535356e-03
53,0.000000e+00,0.000000e+00,1.535356e-03
54,0.000000e+00,0.000000e+00,1.535356e-03
55,0.000000e+00,0.000000e+00,1.535356e-03
56,0.000000e+00,0.000000e+00,1.535356e-03
57,0.000000e+00,0.000000e+00,1.535356e-03
58,0.000000e+00,0.000000e+00,1.535356e-03
59,0.000000e+00,0.000000e+00,1.535356e-03
60,0.000000e+00,0.000000e+00,1.535356e-03
61,0.000000e+00,-8.670462e-01,8.685816e-01
62,0.000000e+00,-8.670462e-01,8.685816e-01
63,0.000000e+00,-8.670462e-01,8.685816e-01
64,0.000000e+00,-8.670462e-01,8.685816e-01
65,0.000000e+00,-8.670462e-01,8.685816e-01
66,0.000000e+00,-8.670462e-01,8.670408e-01
67,0.000000e+00,-8.670462e-01,8.670408e-01
68,0.000000e+00,-8.670462e-01,8.670408e-01
69,0.000000e+00,-8.670462e-01,8.670408e-01
70,0.000000e+00,-8.670462e-01,8.670408e-01
71,0.000000e+00,-8.670462e-01,8.670408e-01
72,0.000000e+00,-8.670462e-01,8.670408e-01
73,-8.670462e-01,0.000000e+00,8.670408e-01
74,-8.670462e-01,0.000000e+00,8.670408e-01
75,-8.670462e-01,0.000000e+00,8.670408e-01
76,-8.670462e-01,0.000000e+00,8.670408e-01
77,-8.670462e-01,0.000000e+00,8.670408e-01
78,-8.670462e-01,0.000000e+00,8.670408e-01
79,-8.670462e-01,0.000000e+00,8.670408e-01
80,-8.670462e-01,0.000000e+00,8.670408e-01
81,-8.670462e-01,0.000000e+00,8.670408e-01
82,-8.685707e-01,0.000000e+00,8.670408e-01
83,-8.685707e-01,0.000000e+00,8.670408e-01
84,-8.685707e-01,0.000000e+00,8.670408e-01
85,-8.685707e-01,0.000000e+00,8.670408e-01
86,0.000000e+00,-1.529872e-03,0.000000e+00
87,0.000000e+00,-1.529872e-03,0.000000e+00
88,0.000000e+00,-1.529872e-03,0.000000e+00
89,0.000000e+00,-1.529872e-03,0.000000e+00
90,0.000000e+00,-1.529872e-03,0.000000e+00
91,0.000000e+00,-1.529872e-03,0.000000e+00
92,0.000000e+00,-1.529872e-03,0.000000e+00
93,0.000000e+00,-1.529872e-03,0.000000e+00
94,0.000000e+00,-1.529872e-03,0.000000e+00
95,0.000000e+00,-1.529872e-03,0.000000e+00
96,0.000000e+00,-1.529872e-03,0.000000e+00
97,0.000000e+00,-1.529872e-03,0.000000e+00
98,0.000000e+00,1.538038e-03,0.000000e+00
99,1.538038e-03,0.000000e+00,0.000000e+00
100,1.538038e-03,0.000000e+00,0.000000e+00
101,1.538038e-03,0.000000e+00,0.000000e+00
102,1.538038e-03,0.000000e+00,0.000000e+00
103,1.538038e-03,0.000000e+00,0.000000e+00
104,1.538038e-03,0.000000e+00,0.000000e+00
105,1.538038e-03,0.000000e+00,0.000000e+00
106,1.538038e-03,0.000000e+00,0.000000e+00
107,1.538038e-03,0.000000e+00,0.000000e+00
108,1.538038e-03,0.000000e+00,0.000000e+00
109,1.538038e-03,0.000000e+00,0.000000e+00
110,1.538038e-03,0.000000e+00,0.000000e+00
111,1.538038e-03,0.000000e+00,0.000000e+00
112,0.000000e+00,1.538038e-03,0.000000e+00
113,0.000000e+00,1.538038e-03,0.000000e+00
114,0.000000e+00,1.538038e-03,0.000000e+00
115,0.000000e+00,-1.084805e-05,0.000000e+00
116,0.000000e+00,-1.084805e-05,0.000000e+00
117,0.000000e+00,-1.084805e-05,0.000000e+00
118,0.000000e+00,-1.084805e-05,0.000000e+00
119,0.000000e+00,-1.084805e-05,0.000000e+00
120,0.000000e+00,-1.084805e-05,0.000000e+00
121,0.000000e+00,-1.084805e-05,0.000000e+00
122,0.000000e+00,-1.084805e-05,0.000000e+00
123,0.000000e+00,-1.084805e-05,0.000000e+00
124,0.000000e+00,-1.084805e-05,0.000000e+00
125,-8.685707e-01,0.000000e+00,8.685598e-01
126,-8.685707e-01,0.000000e+00,8.685598e-01
127,-8.685707e-01,0.000000e+00,8.685598e-01
128,-8.685707e-01,0.000000e+00,8.685598e-01
129,-8.685707e-01,0.000000e+00,8.685598e-01
130,-8.685707e-01,0.000000e+00,8.685598e-01
131,-8.700870e-01,0.000000e+00,8.685598e-01
132,-8.700870e-01,0.000000e+00,8.685598e-01
133,-8.700870e-01,0.000000e+00,8.685598e-01
134,-8.700870e-01,0.000000e+00,8.685598e-01
135,-8.700870e-01,0.000000e+00,8.685598e-01
136,-8.700870e-01,0.000000e+00,8.685598e-01
137,0.000000e+00,-8.700870e-01,8.685598e-01
138,0.000000e+00,-8.700870e-01,8.685598e-01
139,0.000000e+00,-8.700870e-01,8.685598e-01
140,0.000000e+00,-8.700870e-01,8.685598e-01
141,0.000000e+00,-8.700870e-01,8.685598e-01
142,0.000000e+00,-8.700870e-01,8.685598e-01
143,0.000000e+00,-8.700870e-01,8.685598e-01
144,0.000000e+00,-8.700870e-01,8.685598e-01
145,0.000000e+00,-8.700870e-01,8.685598e-01
146,0.000000e+00,-8.700870e-01,8.685598e-01
147,0.000000e+00,-8.700870e-01,8.716277e-01
148,0.000000e+00,-8.700870e-01,8.716277e-01
149,0.000000e+00,-8.700870e-01,8.716277e-01
150,0.000000e+00,0.000000e+00,1.540720e-03
151,0.000000e+00,0.000000e+00,1.540720e-03
152,0.000000e+00,0.000000e+00,1.540720e-03
153,0.000000e+00,0.000000e+00,1.540720e-03
154,0.000000e+00,0.000000e+00,1.540720e-03
155,0.000000e+00,0.000000e+00,1.540720e-03
156,0.000000e+00,0.000000e+00,1.540720e-03
157,0.000000e+00,0.000000e+00,1.540720e-03
158,0.000000e+00,0.000000e+00,1.540720e-03
159,0.000000e+00,0.000000e+00,1.540720e-03
160,0.000000e+00,0.000000e+00,1.540720e-03
161,0.000000e+00,0.000000e+00,1.540720e-03
162,0.000000e+00,0.000000e+00,1.540720e-03
163,0.000000e+00,-8.700870e-01,8.700707e-01
164,0.000000e+00,-8.700870e-01,8.700707e-01
165,0.000000e+00,-8.700870e-01,8.700707e-01
166,0.000000e+00,-8.700870e-01,8.700707e-01
167,0.000000e+00,-8.700870e-01,8.700707e-01
168,0.000000e+00,-8.700870e-01,8.700707e-01
169,0.000000e+00,-8.700870e-01,8.700707e-01
170,0.000000e+00,-8.700870e-01,8.700707e-01
171,0.000000e+00,-8.700870e-01,8.700707e-01
172,0.000000e+00,-8.700870e-01,8.700707e-01
173,0.000000e+00,-8.700870e-01,8.700707e-01
174,0.000000e+00,-8.700870e-01,8.700707e-01
175,-8.700870e-01,0.000000e+00,8.700707e-01
176,-8.700870e-01,0.000000e+00,8.700707e-01
177,-8.700870e-01,0.000000e+00,8.700707e-01
178,-8.700870e-01,0.000000e+00,8.700707e-01
179,-8.700870e-01,0.000000e+00,8.700707e-01
180,-8.715951e-01,0.000000e+00,8.700707e-01
181,-8.715951e-01,0.000000e+00,8.700707e-01
182,-8.715951e-01,0.000000e+00,8.700707e-01
183,-8.715951e-01,0.000000e+00,8.700707e-01
184,-8.715951e-01,0.000000e+00,8.700707e-01
185,-8.715951e-01,0.000000e+00,8.700707e-01
186,-8.715951e-01,0.000000e+00,8.700707e-01
187,-8.715951e-01,0.000000e+00,8.700707e-01
188,0.000000e+00,-1.524389e-03,0.000000e+00
189,0.000000e+00,-1.524389e-03,0.000000e+00
190,0.000000e+00,-1.524389e-03,0.000000e+00
191,0.000000e+00,-1.524389e-03,0.000000e+00
192,0.000000e+00,-1.524389e-03,0.000000e+00
193,0.000000e+00,-1.524389e-03,0.000000e+00
194,0.000000e+00,-1.524389e-03,0.000000e+00
195,0.000000e+00,-1.524389e-03,0.000000e+00
196,0.000000e+00,1.543403e-03,0.000000e+00
197,0.000000e+00,1.543403e-03,0.000000e+00
198,0.000000e+00,1.543403e-03,0.000000e+00
199,0.000000e+00,1.543403e-03,0.000000e+00
200,0.000000e+00,1.543403e-03,0.000000e+00
201,1.543403e-03,0.000000e+00,0.000000e+00
202,1.543403e-03,0.000000e+00,0.000000e+00
203,1.543403e-03,0.000000e+00,0.000000e+00
204,1.543403e-03,0.000000e+00,0.000000e+00
205,1.543403e-03,0.000000e+00,0.000000e+00
206,1.543403e-03,0.000000e+00,0.000000e+00
207,0.000000e+00,0.000000e+00,1.543403e-03
208,1.543403e-03,0.000000e+00,0.000000e+00
209,1.543403e-03,0.000000e+00,0.000000e+00
210,1.543403e-03,0.000000e+00,0.000000e+00
211,1.543403e-03,0.000000e+00,0.000000e+00
212,-2.175570e-05,0.000000e+00,0.000000e+00
213,-2.175570e-05,0.000000e+00,0.000000e+00
214,0.000000e+00,-2.175570e-05,0.000000e+00
215,0.000000e+00,-2.175570e-05,0.000000e+00
216,0.000000e+00,-2.175570e-05,0.000000e+00
217,0.000000e+00,-2.175570e-05,0.000000e+00
218,0.000000e+00,-2.175570e-05,0.000000e+00
219,0.000000e+00,-2.175570e-05,0.000000e+00
220,0.000000e+00,-2.175570e-05,0.000000e+00
221,0.000000e+00,-2.175570e-05,0.000000e+00
222,0.000000e+00,-2.175570e-05,0.000000e+00
223,0.000000e+00,-2.175570e-05,0.000000e+00
224,0.000000e+00,-2.175570e-05,0.000000e+00
225,0.000000e+00,-2.175570e-05,0.000000e+00
226,0.000000e+00,-2.175570e-05,0.000000e+00
227,-8.715951e-01,0.000000e+00,8.715733e-01
228,-8.730950e-01,0.000000e+00,8.715733e-01
229,-8.730950e-01,0.000000e+00,8.715733e-01
230,-8.730950e-01,0.000000e+00,8.715733e-01
231,-8.730950e-01,0.000000e+00,8.715733e-01
232,-8.730950e-01,0.000000e+00,8.715733e-01
233,-8.730950e-01,0.000000e+00,8.715733e-01
234,-8.730950e-01,0.000000e+00,8.715733e-01
235,-8.730950e-01,0.000000e+00,8.715733e-01
236,-8.730950e-01,0.000000e+00,8.715733e-01
237,-8.730950e-01,0.000000e+00,8.715733e-01
238,-8.730950e-01,0.000000e+00,8.715733e-01
239,-8.730950e-01,0.000000e+00,8.715733e-01
240,0.000000e+00,-8.730950e-01,8.715733e-01
241,0.000000e+00,-8.730950e-01,8.715733e-01
242,0.000000e+00,-8.730950e-01,8.715733e-01
243,0.000000e+00,-8.730950e-01,8.715733e-01
244,0.000000e+00,-8.730950e-01,8.715733e-01
245,0.000000e+00,-8.730950e-01,8.746410e-01
246,0.000000e+00,-8.730950e-01,8.746410e-01
247,0.000000e+00,-8.730950e-01,8.746410e-01
248,0.000000e+00,-8.730950e-01,8.746410e-01
